NAME,AGE,MORNING,DAY,EVENING,NIGHT,FIRST TWEET,SECOND TWEET,THIRD TWEET,FOURTH TWEET,PURCHASE AMOUNT
Прокофьева Аиша Марковна,38,1,1,0,0,@akerohoshi так на компе играть) оно правда удобней хдд,Играем в карты что-то сегодня мне не Везёт(((,Я:-ты будешь что-то брать? Вика:-Почему? Вот и поговорили:D,@foxyfoxy01 ну и хорошо х))) я сама дома буду во столько же х),57693
Дорохова Василиса Макаровна,38,1,1,1,1,Прослушивание в 3 группу Лиги актёров~ возможно скоро кого-то из них мы увидим :) http://t.co/XfndfH4Mbh,Вчера решили переставить мебель в комнате!! Пришлось вытаскивать все вещи и во всем этом хаусе потеряла свой айпад((((,RT @ElDLV: Последнее время у меня совсем упала активность. Никто не пишет не ретвитит.  Печально :( Скучно так в твиттере сидеть -.-,За окном -15 а нам тепло и хорошо) @ антикафе КВАРТИРА http://t.co/HMMlVUZdSo,27965
Мельников Павел Даниилович,28,1,1,1,1,Намечается пати в япошке но Оля мне не отвечает:(,вчера был мокрый снег сегодня уже мороз что за погода блять?!(,@neonvaato ахаха х даа незачто :) если что я тут ^_^,RT @Tanya44002656: в точку ;) http://t.co/F0MzJ2wOxJ,23719
Молчанова Дарья Мироновна,45,1,1,1,0,а ещё я давно просёк профит помогать с переездами. во это время люди находят много ненужной но клёвой фигни. и её обычно отдают друзяшкам),Мой вечер развесил Макс ахахх)  жестьпросто слезы от смеха и мы по-любому жизнь еще продлили:DD  спасиб чувак) удачи),@LemonLobule я уже дала объявление в классе. Осталось только ждать :DD,RT @outaraq27: ЯЙЦА БОЛЯТ В ДВУХ СЛУЧАЯХ:1)ПО НИМ ДАЛИ;2)НЕ ДАЛИ,129709
Пугачев Ибрагим Дмитриевич,44,0,1,0,0,Поругалась ужасно с мамой точнее на меня просто наорали так как я испортила кофту:(,@serprok9496 неймар 3 положил педро 2ой P.S Барса - говно :),"Сидим в кино на меня""Паронормальное явление"" такой скучный фильм. Разучились снимать ужастики. Я расстроена(((",@SementsovOleg давай еще здесь будем спорить:)) http://t.co/WiIgpzec49,91655
Селиванова Елизавета Данииловна,27,1,1,0,0,Как же важны верные друзья!Ну хоть один человекна которого я могу надеяться в любой ситуацииу меня есть)),RT @Dm_Puchkov: Если в самолете практически все знакомыезначит ты летишь на Международный Фестиваль команд КВН в г. Сочи))) #сгв #квн #квн…,@Halbig15 @Rita_Riiita кто все? Почти все дома никто не ездит в колледж :D,@sasatyrla такие же как льют к кофебоксе кофеона и тому подобных. в вильне у нас не видела. но сиропы супер),53042
Смирнов Михаил Иванович,44,0,1,0,0,показала родителям несколько треков трэп группы #хлеб и видео #рд про ПОКАЖИ КИСКУ. была в шоке но они угарали),@CoffeeFrom_Mars дааадля нашего города это своеобразный прорыв) глядишьеще кого смогут привезти ))),@Olga_Emanuela главное после последней новости сильно не расстраивайся))))),На улице мороз. Заболела. Пью чай с мёдом. Вспоминаю с какого бадуна мы с сестрой этот мёд покупали на рынке в Геленджике. :)),114039
Быков Ярослав Никитич,30,1,1,0,0,RT @tyvubahibv: это случается раз в 4 года..)))я сменил ник...теперь я hippocat,@ivantsygankov А любовь? Любовь у меня есть! И сейчас она сидит передо мной :-),ахахах аск в разгаре))) / завистницы.....я вас жду !!!!! / http://t.co/ZsUgrtpzxI,Попались ребята на фейк ))) Бывает ))) http://t.co/S7uMH3GjI2,81431
Еремин Иван Иванович,20,0,1,0,0,@idealpigeon голубь я те завидую белой завистью :-) у тя так много фанов ихихи,Просто не нарадуюсь этому дню!!! Он великолепен!!! Особенно вечер) спасибо... Без тебя и тебя я теперь никуда),Насколько ты удачливый человек? В чем это проявляется? — Хмм я ж клевер) у нас все прекрасно•~• http://t.co/X8dJHVJzAj,@Im_like_heroin основная масса финов знают оба языка и спокойно переходя с одного на другой и обратно:),91144
Родионов Андрей Александрович,22,1,1,0,0,После обеда нужно купит себе овсяного печенья давно уже не ела),@_lovelite наследников:D все смотрят подключайся хд,В прошлом году за меня кулочки держали текто сегодня даже не спросят как у меня дела..(,Не делай так больше! Не заставляй меня нервничать (,58437
Сазонов Эмин Викторович,22,1,1,1,1,еееееееееееееееееееееее*_* мои мальчики вышли в молодёжкууу:* так радааааааа:* уееееее****,@OlyaValsbaston @Yaroslaw_spb @Radkat100 Мой ответ будет правильнее-ты лицо заинтересованное :-))),Утром я была абсолютно счастливойкогда была на теннисе.Сейчас я дома и абсолютно несчастна(,Как обезумевшая строчу это дерьмо( завтра после экза это все отправится в адский котелок. #exam http://t.co/Gh1USE0KgF,22974
Федорова Анна Владимировна,59,1,1,0,0,Что ты боишься не успеть? — прямо сейчас - на пары( http://t.co/XBU7ZD6Ept,@baba_yaga_blya_ @JonVlasov @A_Rainik @eshvedova2012 видишь котов нас опчтт наепали((,Любуемся видами Анси пока еще не началась женская эстафета :) http://t.co/hnfHjXcWFJ #biathlon #биатлон http://t.co/DZwZtld7fX,RT @jyrokalezer: день идет удивительно хорошо — у меня все сегодня работает и появились новые наушники благодаря   :),55986
Федорова Полина Алиевна,29,1,0,0,1,"@Zlobny_Karlik @navalny @udaltsova_ ""да а америка в помощь бандеровцам пришлет железного человека"")) Ахинея неизлечимая:)",@nkhabalova я сама щас не дома  в семь часов вроде был там ),Истории Азии и Африки за 1 день!!! Нет ничего проще) Зачёт в кармане! #ФИиМО,@ravil1968 @NurillaSuper да прочла...)) подпишусь под каждым словом..,125039
Егорова Полина Ильинична,24,1,1,1,0,Волки на луну бросаются волкам в небо тоже хочется...),и то верно лучше деталь)) или фрагмент)) на ночь- то глядя)),RT @Yuliya_somali: ХХАХАХХА:D http://t.co/4CMpdZCLs1,Хейребята пора открывать сезон  предлагаю сгонять в это воскресенье в солнечную долину )кому интересно пишите ) http://t.co/Qpdn15buqu,117340
Логинова Кира Марковна,29,1,1,1,0,@Podslyshano: люблю зиму за то что люди носом разблокируют телефоны и такие оглядываются типа без палева)) а я то все вижу. Я ТАК ДЕЛАЮ),@lanka_me10 да ладно тебе) Просто в тот момент меня все так взбесило... Прям до дрожи! Тупые тупые курицы!!!,Сегодня было ооочень холодномне было жаль Владу:D http://t.co/5yqtrsvjRc,@BoardwalkEmpire Спасибо! Ты меня не слабо удивляешь...))),119208
Савина Милана Кирилловна,22,1,1,1,1,@KarinaVus ну вообщем с др тебя))все поздравления я  тебе уже сказала,RT @baabaka: Привет есть 2 вакансии для тестировщиков в СПб: ручное тестирование и автоматизация. Подробности у меня. RT pls :),disclosure-приятное музлохотя я не очень люблю электронику),RT @tina_kandelaki: Господи поколение 20-25 дико инфантильное. Не думала что буду ворчать как бабка. Но by the way(,22117
Широков Руслан Давидович,50,0,1,0,0,@Nastia_Kaluhina @KolyaProhor овер приємністьдякуюю:*,давай поебемся? -не могуу меня месячные :DDDDD http://t.co/AoyPYEfYmF -Олеег,@alien_in_me Пффф всего то 5 лет. Школоло которое в этом году закончит школу. Чуваак ты знаешь какие у него труселя. Дальше уже некуда :D,@___vesper то есть старый маразматик тебя не смущает :D,109618
Архипова Ника Руслановна,26,1,1,1,0,Я боюсь ехать в Германию по двум причинам:  1) Я в ней разочаруюсь и разлюблю немецкий язык 2) Я в ней не разочаруюсь и захочу там остаться,мой дружочек   очень умный. я с ним чувствую себя Пенни :),На видео так ржачно смотреть на лица проходящих мимо нас людей :),Иногда я задаюсь вопросомпочему с жирухами и страшными девахамиходят красивые мальчики?!! —Что блин со мной не так?!!!:(,107564
Дорохов Даниил Кириллович,52,1,1,1,1,Интересно сколько пидарков и шлюшек напишут что завтра пятница 13? Ой я походу первый :D,Пишу отчёт по шестому дню тренинга. Хоть сегодня и седьмой. Один раз не вовремя и теперь отстаю(( http://t.co/n4loLoKXVt,@black_neverland черт!!!:((((( нельзя грустить в метро,@ViksBatman а меня что-то останавливает так не делать :(,30707
Никулин Платон Маркович,40,1,1,0,0,Прием - прием ! Сегодня Домашние Четверги ! Готовимся ) http://t.co/GsrKpT4Kk5,RT @Kissa_meoww: как такое вообще можно написать?:DDD,@98Pushkin отменили?! Бляя хотел посмотреть на эту хрень),RT @pavelsheremet: Фото дня или фото ночи) #євромайдан http://t.co/Zo5CCEyqgO,83079
Масленникова Есения Ярославовна,39,0,1,0,0,RT @Podslyshano: люблю зиму за то что люди носом разблокируют телефоны и такие оглядываются типа без палева)) а я то все вижу. да да.,Помню только что было видео где он меня оттаскивает от столика с косметикой матери),У каждой девушки должен быть свой Кевин из Великобритании для того чтобы помогать ей в изучении английского :),Читала вычитывала перевычитывала басню сегодня. Не прочла только от лица запятой наверное),66795
Фадеева Дарья Александровна,32,0,0,1,0,RT @dmshardakov #ДеньКонституции продолжается а я поехал по делам),Моей маленькой девочке уже 11 летсовсем не верится(,@DiDilyara если Рус обманет в 24 раз своди в вет.клинику и оттяпай ему причиндалы! Как ты вообще терпишь гыгыггыы...))),Сам не пойму. Мир сходит с ума. Кругом ложь и предательство:-),43086
Петров Павел Макарович,27,0,1,0,0,Винегретик))самый подходящий салат для зимнего периода) http://t.co/OQPzxLSGjA,"RT @katunder1984: Завтра День Конституции! ""Единая Россия"" проведет уроки основ Конституции РФ для учащихся! По-моему хорошая инициатива!=)",RT @marina_vekma: @Daria_O_V @morozowa20122 да да)),Надоело все... Возьму веревку найду ветку покрепче и будь что будет... сделаю качели и буду кататься =),91040
Воробьев Марат Давидович,52,0,0,1,0,этот день настал! я начал читать @Emililiii :D милота *.*,Сижу на физре. Ведем душевные разговорчики про всех)хихихи,@balandin73 Так в школе не бывает опытных мужчин! Вот с того времени и терпеть не могу!;),"из 78 коммитов 21 содержат слово ""fix"" в названии. это нормально? :(",55879
Акимов Тимофей Богданович,26,0,0,1,0,@fm_mode я его боюсь...)  @Alex7236 @KalinaNah @DzHIdrisov @lenlekk @IvanKnyazev1 @xSimmka @nosensus @zarabotochek,RT @boo_battery_: do it do it do it weeell - а зачем тебе вставать пораньше? - да просто так ;),@Fan_support @moscowdorofeev спасибо за информацию!) тогда можно и в отпуск!),я думала будет интересно а там херь! обидно(,44026
Калугина Полина Максимовна,29,1,1,1,0,@morphine5 только я из Украинытак что не факто что приеду именно 31.Может 1 :D,@Sweet_Devo4ka они это могут!!!)))) меня так же лечили в поликлинике тоже был у них здоров потом показался спортивному врачу- он поставил,Рассылка будет но даже по московскому времени поздновато. Но зато сегодня))на некоторых  широтах это уже будет не среда. Но все же)),RT @696996966: @broken_260599 ахахах. а я как раз хотела ее скинуть в тви) прекрасное фото.,115751
Киселева Арина Львовна,52,1,1,0,0,@Desu27 я сейчас в таком состоянии что могу ответить тебе только рифмой))),RT @qytexibivowa: Не удалось взять Гиннеса ко Дню Святого Патрика зато добыл Manchester Cream Stout :),@Daniel_Malfoy ураа круто что оно так быстро дошло :D,Кстати жалко Клишин удалил свой блог там был прикольный Drama Queen Rant про флекс ^_^. Слегка переигранный но красивый,67656
Виноградов Егор Михайлович,36,1,1,1,1,@Amiko_chan ну с зубом у всех разные истории мне неделю было ой как плохо весь желудок кетановым подырявила-(,Завтра БлогоТуса с #Мегафон ^_^ Будем #пятнично #БлогоТусить,@DaryMalyavskaya: Что? Диета? А давай купим тебе пол кило мороженого? Знакомо. Папа столько всего накупил:(,Мы шли и громко болтали о Зикода да о Зико) Столько всего)Даже стыдно в некоторых моментах,30948
Поляков Артём Маркович,30,1,1,1,1,@pie_for_whores а вот не знаю:D + я еще стесняюсь все это описывать :D #МинуткаПравды,@Stallion_Arman а потом будет еще веселеекогда ты не будешь влезать в шорты:D,соседи уже в стену стучат что бы я музыку сделала тише...))),если меня тошнит от сладкого это не значит что я его не люблю :((,35269
Ершова Полина Михайловна,33,1,0,0,1,RT @jjmatveeva: Вангую для @povidlo_o - зелёный  - Паша - 17 http://t.co/IkqxYGGKDo,RT @zecuxilybet: нашел дома пачку сименсов: c25 c35 s25 m35 me45 =) все рабочие,С начальством все согласованно.8 марта у меня будет новая татуировкауиииии))))! #Счастьеновыхрисунков,#instacollageблиин...нашла летние фотки..тоскапечаль:) http://t.co/UMzxK26w5y,125082
Морозов Денис Савельевич,46,0,1,0,0,@sk_azka да! Это круто! Приносить радость окружающим и кайфовать самому! ),@MaryyFrolovaa @milayOleshka @ProstotwoyaKris хихи :),Вот так вот начинаешь ходить на все пары а их отменяют. Не судьба видимо :D,@Iris_von_Stern фига у тебя разброс никакой статистики не вывести)),112957
Алешин Александр Михайлович,50,0,0,1,0,Судебные инстанции - это то что ты никогда не запомнишь :(,@moiskakuny @Aleksei_Kudrin Простите не расслышал... дефективные менеджеры? :-),RT @electra_gr: @HapuMaHH0055 по обществу:(,RT @Demetria_MyIdol: #ДирекшионерыПоддерживаютБелиберов Переживаю за Джастина и его фанатов:(( Держитесь милые. Мы с вами. Мы одна семья.,44316
Герасимова Екатерина Александровна,23,1,1,0,0,Приходите посмотреть концерт. Концертный зал Геофака. 18.30!),RT @nunejibaduq: Первый блин — комом. Зато настроение почему-то хорошее :-D,ой я не могу ))))))))))))))))))) ой ппц )))))))))))))))))))))))))))))))))) воруй! Убивай!,Вот это мне кое-кто вчера голову задурил что я даже забыла как всегда в Гадкий я перед сном поиграть:),52456
Галкин Егор Родионович,51,0,0,1,0,Ахахахаххаа смотрела видео где моя сестра на разборке боевая баба:),RT @onanycowoe: народ а у кого есть инвайты на google voice? был бы признателен — на телефоне уже и прога под него есть :) меняю все инв,@Parfenusch Надо хоть что-то ибо очень мало времени будет на подготовку тем более когда болеешь как я:( С МЕНЯ ШОКОЛАДКА И +100500 К КАРМЕ,Ну такое я не думала сотворить :-D тем более в институте,57861
Богданов Лука Григорьевич,48,0,1,0,0,@abstraction_uly да я и не говорю что он) я других особ знаю),@MayorovFilFak да суть его не важна) а желание теперь глупое исполнять),на её фотки и текут слюни........ вот это я понимаю влюбился)) http://t.co/d1PL64PrrV смотрю,@nastia_miay всё потому что папа - победитель по жизни!) ну и ты соответственно тоже) у вас это генетическое),109473
Григорьев Михаил Тимофеевич,39,0,1,0,0,Мое безделье дошло до безрассудства: ем лимоны вилкой:D,школьные будни... Чёрт. стыдновато ......) http://t.co/xSELUClFTU,@Da_Aleksandrova А в правду так круто получилось **),прочитала норвежского писателя Эрленд Лу произведение «Допплер»...я в восторге!ну.и в тупике!:-),112016
Дубровин Максим Артёмович,53,1,0,0,1,"НУ ДА НУ ДА:D Когда мне набивают татуировкуя думаю:""Божео чем я думал?Это будет точно последний раз!"" http://t.co/CZ8tFA06IJ",онлайн и не пишешь. ну ну посмотрим что дальше будет:),RT @_Anastasia_13: @super_hazza_69 привет. как ты?),Посмотрел рожденственскую серию Время Приключений. Какая же она классная(,133234
Кузнецов Платон Арсентьевич,56,1,1,1,1,@maryfuckingway @gerardway мне тоже но я пока так общаюсь :D,"@apathy_thoughts понятие ""ученые"" к нам сложно применить :D",Собака Баскервилей может спать спокойно))))) http://t.co/KRmObIrWWh,@tankard39))наиграй и запевай)) @pianistkawlw @nikalies @ioshig,43718
Федоров Артур Русланович,35,1,1,1,1,@AizaDolmatova иногда хочется отключиться от нереального количества потока мыслей) мозг опухнуть может,RT @Tikhonova1998: @_lalkaa_ и мне( давай петь песнихуле,@699frerard69 О я рад:3  За вчерашний день и за эту ночь я спал больше чем за всю неделю но все равно не выспался:(,Отдохнуть не успеваешь:( целый день уроки!!! А в школу уже завтра,26613
Королева Елизавета Николаевна,24,1,1,1,0,RT @YoIrka: Мак :З  Продолжение следует…) http://t.co/fC3AOeVHKK,Анька не переживай прорвёмся! Сдадим все экзамены:*,у меня завтра сваааадьбаааааааа)))))))))))))))))))),@AppleJesus нетнужен голубой) он же подойдет к 5?!,119084
Васильев Александр Кириллович,33,1,1,0,0,А по секрету дети мои 5 часов сна это нифиги не нормально ((,@______way______ азазза ты думаишь я помню какой у миня индекс?:D,ЕСЛИ НЕ УМЕЕШЬ ВРАТЬ НЕ ВРИ ТАК ОБИДНО !(,O_O http://t.co/773EM7TC5t Боже что это?????? Севен ты видел???,57433
Горохова Мария Артёмовна,28,1,1,1,1,RT @IlyaYashin: Один из слушателей сегодняшнего послания Путина все-таки не выдержал:) #facepalm #послание http://t.co/ER9UoMK1lN,@brutalroxy хдд вааа)) эмм тоже ничего особенного. в нашем районе завелся маньяк т.т он мне всю психику испортил,усиленно сжираю все вкусности в доме потому что завтра на диету сук(,как же мне плохо( температура горло першит((,19580
Сергеев Даниил Максимович,46,1,1,0,0,@AkademikFCSM ну это я уже так к слову) а так да в натуре у них сплошь кб кореша - софия видзев кельн...,@Roz_And мелочи которые делают нашу жизнь лучше! :),Безрукий программист продолжает держать сайт в подвисшем состоянии устраняя собственные косяки... Сидим пьем кофе материмся вполголоса ((,мой плей-лист для депрессии готов лол но там есть одна песня которая как бы поднимает настроение просто она мне сильно нравится ахах :),75184
Беляков Лев Анатольевич,24,1,1,0,0,@PavlyukT все ок будет отвечаю)мы прорвемся)вместе завтра плакать будем ты по своему я по своему.накопилось,@_Hazza__69 Я отбила.Даафильм потрясныйинтересно что в третьей части будет),@bystrov_sasha  Ну тогда тебе придётся писать мне. У тебя выхода другого нет.:-):-),RT @kisa_martovskay: На паре мы играем в крокодила :) норм так речь проходит.,74011
Новиков Дмитрий Робертович,22,1,0,0,1,RT @Evgeniya_irk: Удачи пишущим завтра экзамены! !:)*,болеть на каникулах-вообще не круто( терафлюградусник и ингалипт отмечают со мной последние 2 дня,@sacujikyjo нада придумать шоколадных людей...не нравятся съешь нравятся тоже съешь),мама заботиться обо мне :* сказалачтоб я не забивала голову этой ерундойа лечилась.,125960
Воробьев Сергей Тигранович,50,0,1,0,0,@zolotseva мне родителей ждать надо  а они хз когда приедут (,Завтра должен быть приятный день^_^ Будем затариваться с Аней:3 Урааааа,"В номинации ""Лучшая исполнительница"" хз за кого голосовать(",@A_H_A_H_A_C_69 везет мало того что завтра четвертый день как я в школу пойду дак еще и 6 уроков и консультация((((,77184
Воронова Алиса Давидовна,27,1,1,1,0,RT @tihonoff_alex: Ну вот @aavst  меня зафрендил в 4sq это #успех я щетаю... всем клёвых чекинов))))),@BaldykovMail И много другого чего при Ленине и Сталине не было. Потому историки и удивляются чего это народ не по их истории поступает)),RT @tolubarman: Для оформления документов принесите 2 фотографии на диске :D http://t.co/mGOhqBni5y,RT @skay_a: Какое романтичное название для гадости за окном)) #spb http://t.co/Bd1MUddKFM,116536
Захаров Денис Артёмович,22,1,0,0,1,"Объяснение для девочек: ""Понимаешь биткоин -это как гражданский брак-довериевзаимная отдачаа не условный штамп в паспорте Ну теперь ясно)",Бляяя как же мне скучно....и никто не пишет и не звонит;(,Походу прочитал потому что убрал руки свои вонючие),"Подъезжает маршрутка и спереди выходят два мужикаи Даша такая селаа тот мужик просто того выпускали сел обратно Даша такая ""помогите"":D",125814
Матвеев Никита Львович,29,1,0,0,1,@HarryDarrySt ааа ты мой любимый художник ну:DDDDD,@ht_mail_ru Windows Phoneкак всегдаотстала.Никому не нужна вообще.)),RT @VNatulia: в среду вместо уроков в польшу:))) юхуууу))),белорусский впечатлил... сама от себя такого не ожидала)))),135036
Гусев Сергей Давидович,43,0,0,1,0,@Gerlmeri У нас+ 8 солнце снега нет. .. (,перенесли пересдачу на завтрано это моей ситуации не меняет так же лень:(,@NikaLove1D оу пропустилапотому что болела? Бедная:( Удачи типее с::,RT @Elvira_T_music: Еду встречаться с поклонниками в Питере.Кафе Филиберт  в 14-00 начало) жду с нетерпением))) #famousface http://t.co/ls…,40349
Федотов Фёдор Фёдорович,30,0,1,0,0,@Scream_Hater Мнение мужика авторитетно)  Точно цветы),сбежать подальше от всех и всево чтобы не напрегало и не даставало((,RT @Dermisson: По громкой связи не первый раз передают что Татьяна Конча опаздывает на свой рейс но я каждый раз улыбаюсь) Я бы на её мес…,@MilenaKhakimova ооооонаконец–таки!! Хэйты как там?;),103128
Никитин Семён Никитич,43,0,1,0,0,@_DenisVolkov @your_boggart @ZhenekDem следующий сезон через 2 года((,@Skreaming_Fox ты идешь ко мне на др в пятницу 27 в дружбу ты в курсе?)))),@dashylban ссылку на пруф пжлста. а то я ток нашел откаты пресслужбы что он этого не делал(((((,переполз в зала там рен тв и паранормальные явления(,79829
Нестеров Марк Маркович,60,0,0,1,0,@irkooy чеееерт!!! Замятина еще читать( а у меня еще и индивидуальное,@galyonkin ну я же говорил. ))) Не зря на турнирах играю и терплю унижения. :D,В Голландии козий грипп!   Какое животное будет следующим? Начинаю принимать ставки... :-),"Гуля в рассылке пишет что Антон Носик - drugoi. Поправляю её: ""Носик - долбоёб"". Двусмысленно получилось ((",51558
Лаптева Александра Максимовна,24,1,0,0,1,Долгий путь до школы.Если не придет весь класстя расстроюсь(,@imluluuu вот-вот у нас разве что на алгебре тепло у нее там обогреватель хдд и как помогло? ахахвзхах &gt;:D,@MashkaaDenchik @BrutalNyashka сейчас коротко не написать расскажу потом),кто хочет со мной сделать подарки детям из дет.дома 30ого декабря?) http://t.co/FbgdGipkpU,116840
Кочетков Максим Константинович,52,0,0,1,0,Дома бордак голодные дети - мама весь день сидит в интернете! ),Подозреваю что у меня будет девушка.... - как это подозреваешь?) - будет! через 9 месяцев..,ну всё завтра последний день практики... буду по все скучать ((,Посвящаю 1000ый твит:   @katyagayy @Narisovana_Ka @Ksenya_Vesennya @salumushka @NightStar77 @ShewchenkoLera @sht  Добра вам :),58294
Ермаков Дмитрий Александрович,20,0,1,0,0,@pianistkawlw @shimp93 @marsell620 @milaja_Elena @Alex_zhzhet @sistema_8 @ioshigЯ видела 500-летн деревья повалил шторм Сэнди в прошл году (,люди жестоки.. никто не хочет ехать со мной( #jackstrify #cinemabizarre #Russia #fan #halo #lovesongs… http://t.co/VjaDhupBR7,@badsirrope Исключения только подтверждают правила..)),@mishacollinsfil ууу я не элитка(((((((((((,64258
Поляков Макар Константинович,43,0,1,0,0,@july_pantera пролежит еще лет 10-15 и превратится в барахло),@invainbutsane хаха)) и это вполне можно понять!))),залипаю за компом слушая репчину. не могу настроится на выполнения уроков)),RT @klimashevskaya_: какое же счастье!!) я как подумаюЧТО МЕНЯ ЖДЁТ уиии*) http://t.co/gXawTQMk9o,110085
Ульянов Фёдор Владимирович,33,1,1,0,0,-Ты высыпаешься?  -Откуда ? Эт про меня))))) http://t.co/VjEDoClzah,Сначала у нас а офисе тусили корейцы а теперь тусят японцы))) я счастлив))),Нужна мне.я всегда буду ждать твой онлайня всегда буду скучать по тебе.Саня моя.она такая такая  любимая :* http://t.co/AwZwa8AZfs,На работе отменили новогодний корпоратив. Люди вешаются выкидываются из окон а самые отчаянные увольняются:D #камов http://t.co/YzYCvDxUZw,81193
Ильина Ева Михайловна,28,1,1,1,0,RT @coqyvazuboq: С улицы дымом запахло сразу лето вспомнилось ^_^,@JuliaPorosiuk твит с картинкой для тебя) http://t.co/1q6EyzJurI,С папой любой разговор легкий) http://t.co/srYAezay9V,Как де классно когда тебя забирают прямо со школы на машинке :),119195
Попов Ярослав Никитич,52,0,1,0,0,@annie_06017 это страшно я скажу...на экзамене будет!(,@An_dmitrich ну ты мне снишься а я тебе комментчу. все сходится)),@Sanya_Berezina увези меня с собой!:) Я даже экзамены сдам досрочно если надо!:3,RT @KartashovDima: Когда российские команды играют в европейских чемпионатах я болею и за Зенит и за ЦСКА и за кого угодно) Это НАШИ.,103687
